first,last,index,season_code,installment,brand,brand_season,year,total_houseguests,total_days,age,age_group,gender,original_race_ethnicity,race_ethnicity,latinx_hispanic,biracial,biracial_one,biracial_two,lgbts,person_with_disability,hometown,homestate,appearance,comeback_sequester,came_back,first_eviction_day,first_eviction_week,day_of_comeback_sequester_end,days_of_comeback_sequesters,weeks_of_comeback_sequester,made_jury,days_of_jury_sequester,final_eviction_day,final_eviction_week,days_in_game_including_sequester,total_days_in_game_excluding_sequester,weeks_in_game_including_sequester,weeks_in_game_excluding_sequester,afp,ejected,self_evicted,total_vetos,total_hoh,other_comp_wins,total_nominations,total_wins,final_placement,placement_rank_percent
Brittany,Petros,1,bbus1,1,regular,1,2000,10,88,25,20-somethings,female,white,white,no,no,na,na,non-lgbt,no,robbinsdale,MN,1,no,no,57,9,na,na,na,na,0,57,9,57,57,8,8,na,no,no,na,na,0,1,0,7,0.70
Cassandra,Waldon,2,bbus1,1,regular,1,2000,10,88,37,30-somethings,female,black,black,no,no,na,na,non-lgbt,no,new york city,NY,1,no,no,71,11,na,na,na,na,0,71,11,71,71,10,10,na,no,no,na,na,0,3,0,6,0.60
Curtis,Kin,3,bbus1,1,regular,1,2000,10,88,28,20-somethings,male,asian,asian,no,no,na,na,non-lgbt,no,new york city,NY,1,no,no,88,13,na,na,na,na,0,88,13,88,88,13,13,na,no,no,na,na,0,6,0,3,0.30
Eddie,McGee,4,bbus1,1,regular,1,2000,10,88,21,20-somethings,male,white,white,no,no,na,na,non-lgbt,yes,long island,NY,1,no,no,88,13,na,na,na,na,0,88,13,88,88,13,13,na,no,no,na,na,0,5,0,1,0.10
George,Boswell,5,bbus1,1,regular,1,2000,10,88,41,40-somethings,male,white,white,no,no,na,na,non-lgbt,no,rockford,IL,1,no,no,78,12,na,na,na,na,0,78,12,78,78,11,11,na,no,no,na,na,0,2,0,5,0.50
Jamie,Kern,6,bbus1,1,regular,1,2000,10,88,22,20-somethings,female,white,white,no,no,na,na,non-lgbt,no,seattle,WA,1,no,no,85,13,na,na,na,na,0,85,13,85,85,12,12,na,no,no,na,na,0,2,0,4,0.40
Jean,Jordan,7,bbus1,1,regular,1,2000,10,88,26,20-somethings,female,white,white,no,no,na,na,non-lgbt,no,roanoke,VA,1,no,no,29,5,na,na,na,na,0,29,5,29,29,4,4,na,no,no,na,na,0,0,0,9,0.90
Josh,Souza,8,bbus1,1,regular,1,2000,10,88,23,20-somethings,male,white,white,no,no,na,na,non-lgbt,no,santa maria,CA,1,no,no,88,13,na,na,na,na,0,88,13,88,88,13,13,na,no,no,na,na,0,4,0,2,0.20
Karen,Fowler,9,bbus1,1,regular,1,2000,10,88,43,40-somethings,female,white,white,no,no,na,na,non-lgbt,no,columbus,IN,1,no,no,43,7,na,na,na,na,0,43,7,43,43,6,6,na,no,no,na,na,0,1,0,8,0.80
William,Collins,10,bbus1,1,regular,1,2000,10,88,27,20-somethings,male,black,black,no,no,na,na,non-lgbt,no,philadelphia,PA,1,no,no,16,3,na,na,na,na,0,16,3,16,16,2,2,na,no,no,na,na,0,1,0,10,1.00
Will,Kirby,11,bbus2,2,regular,2,2001,12,82,28,20-somethings,male,white,white,no,no,na,na,non-lgbt,no,miami,FL,1,no,no,82,12,na,na,na,final,0,82,12,82,82,12,12,na,no,no,na,0,0,4,0,1,0.08
Nicole,Schaffrich,12,bbus2,2,regular,2,2001,12,82,31,30-somethings,female,white,white,no,no,na,na,non-lgbt,no,atlanta,GA,1,no,no,82,12,na,na,na,final,0,82,12,82,82,12,12,na,no,no,na,1,0,2,1,2,0.17
Monica,Bailey,13,bbus2,2,regular,2,2001,12,82,40,40-somethings,female,black,black,no,no,na,na,non-lgbt,no,brooklyn,NY,1,no,no,77,11,na,na,na,yes,0,77,11,77,77,11,11,na,no,no,na,1,0,2,1,3,0.25
